Days,ID,Recovery,Extract weight,Lipid %,Weight (g),Size (cm),Liver weight (g),LSI,CF,BDE 47 (ng/g),BDE 99 (ng/g)
0,A,73.21,0.1,3.6,20.09,12.8,0.14,0.696864112,0.957965851,0,0
0,B,98.24,0.22,2.272727273,36.52,15.5,0.33,0.903614458,0.980698869,0,0
0,C,89.71,0.18,3.5,28.74,14.7,0.25,0.86986778,0.904762849,0,0
1,A,78.4,0.13,1.330769231,23.7,14,0.15,0.632911392,0.863702624,0,0
1,B,66.24,0.13,2.838461539,32.8,15,0.2,0.609756098,0.971851852,0,0
1,C,75.07,0.11,1.327272727,31.9,14.5,0.25,0.78369906,1.046373365,0,0
1,D,66.53,0.07,1.7,23.7,14,0.12,0.506329114,0.863702624,0,0
1,E,110.6,0.2,0.35,19.3,12.5,0.1,0.518134715,0.98816,0,0
1,F,65.62,0.16,4.0875,37.8,16,0.26,0.687830688,0.922851563,0,0
1,G,103.01,0.19,4.894736842,35,15,0.3,0.857142857,1.037037037,233.8318765,289.2860453
5,A,34.67,0.07,0.714285714,22.36,13.9,0.16,0.715563506,0.832582731,0,0
5,B,15.26,0.3,0.366666667,28.4,14.5,0.38,1.338028169,0.93156751,165.2268551,260.2144953
5,C,61.19,0.24,0.375,31,14.7,0.3,0.967741936,0.975909823,0,0
15,A,108.69,0.32,0.809375,40.55,16.7,0.39,0.961775586,0.870645671,0,153.2323394
15,B,96.38,0.16,0.7125,38.1,16.3,0.26,0.682414698,0.879755848,0,303.9021787
15,C,74.87,0.23,1.265217391,41.52,16.3,0.34,0.818882466,0.958726058,0,0
15,D,132.2,0.22,0.826318552,33.7,15.7,0.25,0.741839763,0.870825111,200.0366206,226.9743118
15,E,103.58,0.22,0.826318552,38.37,15.7,0.36,0.938232995,0.991500282,204.4457115,0
15,F,100.82,0.29,0.826318552,44.28,17,0.44,0.993676603,0.901282312,155.2346777,182.32534
15,G,,0.11,0.518181818,26.87,14.7,0.17,0.632675847,0.84589345,0,0
30,A,107.69,0.08,0.075,21.65,13.4,0.17,0.7852194,0.899794855,604.2257067,0
30,B,83.98,0.17,0.194117647,23.72,14.2,0.15,0.63237774,0.828418238,263.8709208,0
30,C,110.6,0.28,4.346428571,28.58,14.6,0.2,0.699790063,0.91834033,189.4216305,211.8369593
30,D,99.86,0.33,1.26969697,35.71,15.7,0.42,1.176141137,0.922764531,145.8122925,171.3768139
30,E,99.1,0.18,1.683333333,25.53,14.2,0.28,1.096748923,0.891632277,272.989203,288.0241589
30,F,28.52,0.17,2.941176471,21.6,13.3,0.2,0.925925926,0.91811869,0,0
30,G,110.02,0.23,2.034782609,24.92,13.9,0.32,1.284109149,0.927905261,199.8176371,228.7145591
41,A,55.7,0.03,2.333333333,20.82,13.2,0.08,0.384245917,0.905229986,0,0
41,B,69.77,0.13,0.461538462,28.08,14.6,0.3,1.068376068,0.902274194,343.6773579,391.8026815
41,C,90.8,0.1,1.6,27.59,14.9,0.15,0.543675245,0.834051553,0,0
41,D,97.38,0.12,12.91666667,22.64,14.2,0.17,0.750883392,0.790699364,416.9838044,433.202905
41,E,71.3,0.16,4.5,26.25,14.9,0.18,0.685714286,0.793543069,278.2378533,307.7771787
41,F,87.23,0.14,2.5,23.2,14.2,0.2,0.862068966,0.810257299,370.4146895,0
60,A,45.26,0.06,0.33,27.13,13.7,0.11,0.405455216,1.055086563,0,0
60,B,54.75,0.08,0.875,25.01,13.9,0.14,0.55977609,0.931256444,0,0
60,C,61.38,0.03,3,20.83,14,0.1,0.480076812,0.759110787,0,0
60,D,60.66,0.05,0.4,25.98,14.1,0.14,0.538876059,0.926791002,898.1611307,0
60,E,57.94,0.13,1.230769231,28.02,14.2,0.22,0.785153462,0.978595237,357.8312041,0
60,F,71.49,0.09,0.888888889,29.12,14.6,0.2,0.686813187,0.935691756,531.8672948,0
60,G,64.38,0.14,0.785714286,27.41,14.5,0.23,0.839109814,0.899093854,338.1289752,0
72,A,74.64,0.16,2.8125,27.05,14.1,0.24,0.887245841,0.964961378,294.0503533,0
