Date Time, Water Level, Sigma, I, L 
2013-08-14 00:00,1.410,0.010,0,0
2013-08-14 01:00,0.815,0.007,0,0
2013-08-14 02:00,0.488,0.003,0,0
2013-08-14 03:00,0.370,0.005,0,0
2013-08-14 04:00,0.253,0.002,0,0
2013-08-14 05:00,0.385,0.005,0,0
2013-08-14 06:00,1.013,0.010,0,0
2013-08-14 07:00,1.773,0.008,0,0
2013-08-14 08:00,2.200,0.004,0,0
2013-08-14 09:00,2.289,0.011,0,0
2013-08-14 10:00,2.292,0.002,0,0
2013-08-14 11:00,2.091,0.006,0,0
2013-08-14 12:00,1.581,0.008,0,0
2013-08-14 13:00,0.952,0.012,0,0
2013-08-14 14:00,0.475,0.009,0,0
2013-08-14 15:00,0.319,0.017,0,0
2013-08-14 16:00,0.267,0.013,0,0
2013-08-14 17:00,0.376,0.010,0,0
2013-08-14 18:00,0.890,0.013,0,0
2013-08-14 19:00,1.619,0.012,0,0
2013-08-14 20:00,2.158,0.010,0,0
2013-08-14 21:00,2.382,0.010,0,0
2013-08-14 22:00,2.429,0.007,0,0
2013-08-14 23:00,2.381,0.010,0,0
2013-08-15 00:00,1.982,0.010,0,0
2013-08-15 01:00,1.291,0.009,0,0
2013-08-15 02:00,0.696,0.006,0,0
2013-08-15 03:00,0.349,0.006,0,0
2013-08-15 04:00,0.245,0.003,0,0
2013-08-15 05:00,0.125,0.005,0,0
2013-08-15 06:00,0.258,0.006,0,0
2013-08-15 07:00,0.889,0.010,0,0
2013-08-15 08:00,1.595,0.008,0,0
2013-08-15 09:00,2.012,0.002,0,0
2013-08-15 10:00,2.098,0.009,0,0
2013-08-15 11:00,2.079,0.005,0,0
2013-08-15 12:00,1.934,0.003,0,0
2013-08-15 13:00,1.504,0.007,0,0
2013-08-15 14:00,0.885,0.008,0,0
2013-08-15 15:00,0.423,0.006,0,0
2013-08-15 16:00,0.298,0.006,0,0
2013-08-15 17:00,0.259,0.012,0,0
2013-08-15 18:00,0.356,0.005,0,0
2013-08-15 19:00,0.827,0.011,0,0
2013-08-15 20:00,1.546,0.013,0,0
2013-08-15 21:00,2.161,0.009,0,0
2013-08-15 22:00,2.416,0.005,0,0
2013-08-15 23:00,2.448,0.006,0,0
2013-08-16 00:00,2.397,0.005,0,0
2013-08-16 01:00,1.995,0.008,0,0
2013-08-16 02:00,1.299,0.011,0,0
2013-08-16 03:00,0.646,0.008,0,0
2013-08-16 04:00,0.247,0.003,0,0
2013-08-16 05:00,0.138,0.006,0,0
2013-08-16 06:00,0.005,0.002,0,0
2013-08-16 07:00,0.160,0.005,0,0
2013-08-16 08:00,0.824,0.010,0,0
2013-08-16 09:00,1.575,0.009,0,0
2013-08-16 10:00,2.027,0.006,0,0
2013-08-16 11:00,2.157,0.010,0,0
2013-08-16 12:00,2.183,0.005,0,0
2013-08-16 13:00,2.066,0.005,0,0
2013-08-16 14:00,1.623,0.009,0,0
2013-08-16 15:00,0.993,0.009,0,0
2013-08-16 16:00,0.471,0.013,0,0
2013-08-16 17:00,0.297,0.013,0,0
2013-08-16 18:00,0.280,0.017,0,0
2013-08-16 19:00,0.342,0.010,0,0
2013-08-16 20:00,0.774,0.011,0,0
2013-08-16 21:00,1.550,0.014,0,0
2013-08-16 22:00,2.208,0.010,0,0
2013-08-16 23:00,2.488,0.010,0,0
2013-08-17 00:00,2.523,0.007,0,0
2013-08-17 01:00,2.457,0.005,0,0
2013-08-17 02:00,2.075,0.008,0,0
2013-08-17 03:00,1.394,0.010,0,0
2013-08-17 04:00,0.715,0.013,0,0
2013-08-17 05:00,0.274,0.005,0,0
2013-08-17 06:00,0.150,0.007,0,0
2013-08-17 07:00,-0.002,0.003,0,0
2013-08-17 08:00,0.124,0.005,0,0
2013-08-17 09:00,0.778,0.010,0,0
2013-08-17 10:00,1.645,0.010,0,0
2013-08-17 11:00,2.182,0.004,0,0
2013-08-17 12:00,2.305,0.003,0,0
2013-08-17 13:00,2.337,0.005,0,0
2013-08-17 14:00,2.203,0.017,0,0
2013-08-17 15:00,1.724,0.011,0,0
2013-08-17 16:00,1.015,0.014,0,0
2013-08-17 17:00,0.443,0.012,0,0
2013-08-17 18:00,0.211,0.016,0,0
2013-08-17 19:00,0.148,0.009,0,0
2013-08-17 20:00,0.146,0.009,0,0
2013-08-17 21:00,0.586,0.014,0,0
2013-08-17 22:00,1.457,0.016,0,0
2013-08-17 23:00,2.178,0.018,0,0
2013-08-18 00:00,2.512,0.007,0,0
2013-08-18 01:00,2.584,0.011,0,0
2013-08-18 02:00,2.544,0.006,0,0
2013-08-18 03:00,2.160,0.008,0,0
2013-08-18 04:00,1.422,0.010,0,0
2013-08-18 05:00,0.670,0.012,0,0
2013-08-18 06:00,0.199,0.004,0,0
2013-08-18 07:00,0.057,0.003,0,0
2013-08-18 08:00,-0.136,0.003,0,0
2013-08-18 09:00,-0.033,0.006,0,0
2013-08-18 10:00,0.718,0.012,0,0
2013-08-18 11:00,1.659,0.010,0,0
2013-08-18 12:00,2.249,0.005,0,0
2013-08-18 13:00,2.373,0.017,0,0
2013-08-18 14:00,2.383,0.008,0,0
2013-08-18 15:00,2.280,0.006,0,0
