time,lon,lat
2014-03-24T06:57:00.000000000-0300,-45.96980802,-23.78338962
2014-03-24T06:57:28.000000000-0300,-45.96985811,-23.78332851
2014-03-24T06:57:56.000000000-0300,-45.96987481,-23.78325212
2014-03-24T06:58:24.000000000-0300,-45.96989150,-23.78320629
2014-03-24T06:58:52.000000000-0300,-45.96989150,-23.78317574
2014-03-24T06:59:20.000000000-0300,-45.96989150,-23.78312990
2014-03-24T06:59:48.000000000-0300,-45.96985811,-23.78306879
2014-03-24T07:00:16.000000000-0300,-45.96982472,-23.78299240
2014-03-24T07:00:44.000000000-0300,-45.96982472,-23.78290074
2014-03-24T07:01:12.000000000-0300,-45.96987481,-23.78287018
2014-03-24T07:01:40.000000000-0300,-45.96994159,-23.78279379
2014-03-24T07:02:08.000000000-0300,-45.96994159,-23.78273268
2014-03-24T07:02:36.000000000-0300,-45.96994159,-23.78267157
2014-03-24T07:03:04.000000000-0300,-45.96992489,-23.78264102
2014-03-24T07:03:32.000000000-0300,-45.96987481,-23.78257991
2014-03-24T07:04:00.000000000-0300,-45.96985811,-23.78250352
2014-03-24T07:04:28.000000000-0300,-45.96987481,-23.78241185
2014-03-24T07:04:56.000000000-0300,-45.96997498,-23.78239657
2014-03-24T07:05:24.000000000-0300,-45.97004176,-23.78233546
2014-03-24T07:05:52.000000000-0300,-45.97002507,-23.78230491
2014-03-24T07:06:20.000000000-0300,-45.96992489,-23.78221324
2014-03-24T07:06:48.000000000-0300,-45.96990820,-23.78210630
2014-03-24T07:07:16.000000000-0300,-45.97002507,-23.78198408
2014-03-24T07:07:44.000000000-0300,-45.97017532,-23.78189241
2014-03-24T07:08:12.000000000-0300,-45.97030889,-23.78187713
2014-03-24T07:08:40.000000000-0300,-45.97042576,-23.78183130
2014-03-24T07:09:08.000000000-0300,-45.97057601,-23.78173963
2014-03-24T07:09:36.000000000-0300,-45.97067619,-23.78169380
2014-03-24T07:10:04.000000000-0300,-45.97075966,-23.78169380
2014-03-24T07:10:32.000000000-0300,-45.97085984,-23.78160213
2014-03-24T07:11:00.000000000-0300,-45.97104349,-23.78147991
2014-03-24T07:11:28.000000000-0300,-45.97131061,-23.78126602
2014-03-24T07:11:56.000000000-0300,-45.97136070,-23.78111324
2014-03-24T07:12:24.000000000-0300,-45.97157774,-23.78091463
2014-03-24T07:12:52.000000000-0300,-45.97161113,-23.78077713
2014-03-24T07:13:20.000000000-0300,-45.97164452,-23.78062435
2014-03-24T07:13:48.000000000-0300,-45.97171130,-23.78057851
2014-03-24T07:14:16.000000000-0300,-45.97172800,-23.78039518
2014-03-24T07:14:44.000000000-0300,-45.97167791,-23.78019657
2014-03-24T07:15:12.000000000-0300,-45.97177809,-23.78007434
2014-03-24T07:15:40.000000000-0300,-45.97187826,-23.77993684
2014-03-24T07:16:08.000000000-0300,-45.97177809,-23.77981462
2014-03-24T07:16:36.000000000-0300,-45.97157774,-23.77973823
2014-03-24T07:17:04.000000000-0300,-45.97146087,-23.77972295
2014-03-24T07:17:32.000000000-0300,-45.97122714,-23.77966184
2014-03-24T07:18:00.000000000-0300,-45.97109357,-23.77966184
2014-03-24T07:18:28.000000000-0300,-45.97099340,-23.77963128
2014-03-24T07:18:56.000000000-0300,-45.97101010,-23.77957017
2014-03-24T07:19:24.000000000-0300,-45.97111027,-23.77949378
2014-03-24T07:19:52.000000000-0300,-45.97116035,-23.77944794
2014-03-24T07:20:20.000000000-0300,-45.97117705,-23.77940211
2014-03-24T07:20:48.000000000-0300,-45.97119375,-23.77929516
2014-03-24T07:21:16.000000000-0300,-45.97119375,-23.77923405
2014-03-24T07:21:44.000000000-0300,-45.97109357,-23.77920349
2014-03-24T07:22:12.000000000-0300,-45.97111027,-23.77906599
2014-03-24T07:22:40.000000000-0300,-45.97114366,-23.77905071
